地名,センター,一般ごみ,資源（かん・びん）,資源（ペットボトル・紙・布）,プラ製容器包装
宮,北,月 木,水1 水3,水2 水4 水5,火
宮,北,火 金,水1 水3,水2 水4 水5,木
雄湊,北,月 木,水1 水3,水2 水4 水5,火
城北,北,月 木,水1 水3,水2 水4 水5,金
雄湊,北,月 木,水1 水3,水2 水4 水5,火
砂山,北,月 木,水2 水4,水1 水3 水5,火
大新,北,月 木,水1 水3,水2 水4 水5,金
宮北,北,月 木,水1 水3,水2 水4 水5,火
雄湊,北,月 木,水1 水3,水2 水4 水5,火
貴志,西,火 金,水2 水4,水1 水3 水5,木
貴志,西,火 金,水2 水4,水1 水3 水5,木
貴志,西,月 木,水1 水3,水2 水4 水5,火
宮前,北,火 金,水1 水3,水2 水4 水5,木
山口,北,火 金,水2 水4,水1 水3 水5,木
貴志,西,火 金,水2 水4,水1 水3 水5,木
中之島,北,月 木,水1 水3,水2 水4 水5,金
本町,北,月 木,水1 水3,水2 水4 水5,金
本町,北,月 木,水1 水3,水2 水4 水5,金
本町,北,月 木,水1 水3,水2 水4 水5,金
東山東,北,火 金,水1 水3,水2 水4 水5,月
雄湊,北,月 木,水1 水3,水2 水4 水5,火
本町,北,月 木,水1 水3,水2 水4 水5,金
宮,北,月 木,水1 水3,水2 水4 水5,火
宮,北,火 金,水1 水3,水2 水4 水5,木
川永,北,火 金,水2 水4,水1 水3 水5,木
雑賀,北,月 木,水2 水4,水1 水3 水5,火
安原,北,火 金,水1 水3,水2 水4 水5,月
岡崎,北,火 金,水1 水3,水2 水4 水5,月
城北,北,月 木,水1 水3,水2 水4 水5,金
雄湊,北,月 木,水1 水3,水2 水4 水5,火
城北,北,月 木,水1 水3,水2 水4 水5,金
城北,北,月 木,水1 水3,水2 水4 水5,金
雑賀,北,月 木,水2 水4,水1 水3 水5,火
広瀬,北,月 木,水2 水4,水1 水3 水5,金
雄湊,北,月 木,水1 水3,水2 水4 水5,火
紀伊,北,火 金,水2 水4,水1 水3 水5,木
高松,北,月 木,水2 水4,水1 水3 水5,金
城北,北,月 木,水1 水3,水2 水4 水5,金
本町,北,月 木,水1 水3,水2 水4 水5,金
雄湊,北,月 木,水1 水3,水2 水4 水5,火
城北,北,月 木,水1 水3,水2 水4 水5,金
木本,西,月 木,水1 水3,水2 水4 水5,金
西脇,西,月 木,水1 水3,水2 水4 水5,火
城北,北,月 木,水1 水3,水2 水4 水5,金
本町,北,月 木,水1 水3,水2 水4 水5,金
雑賀,北,月 木,水2 水4,水1 水3 水5,火
雑賀,北,月 木,水2 水4,水1 水3 水5,火
城北,北,月 木,水1 水3,水2 水4 水5,金
城北,北,月 木,水1 水3,水2 水4 水5,金
新南,北,月 木,水1 水3,水2 水4 水5,金
名草,北,月 木,水1 水3,水2 水4 水5,金
和佐,北,火 金,水1 水3,水2 水4 水5,月
宮北,北,月 木,水1 水3,水2 水4 水5,火
直川／有功,北,火 金,水2 水4,水1 水3 水5,月
野崎,西,火 金,水2 水4,水1 水3 水5,木
貴志,西,火 金,水2 水4,水1 水3 水5,木
城北,北,月　木,水１　水３,水２　水４　水５,金
大新,北,月　木,水１　水３,水２　水４　水５,金
大新,北,月　木,水１　水３,水２　水４　水５,金
城北,北,月　木,水１　水３,水２　水４　水５,金
小倉,北,火　金,水１　水３,水２　水４　水５,月
安原,北,火　金,水１　水３,水２　水４　水５,月
城北,北,月　木,水１　水３,水２　水４　水５,金
本町,北,月　木,水１　水３,水２　水４　水５,金
城北,北,月　木,水１　水３,水２　水４　水５,金
雑賀,北,月　木,水２　水４,水１　水３　水５,火
広瀬,北,月　木,水２　水４,水１　水３　水５,金
雄湊,北,月　木,水１　水３,水２　水４　水５,火
高松,北,月　木,水２　水４,水１　水３　水５,金
小倉,北,火　金,水１　水３,水２　水４　水５,月
本町,北,月　木,水１　水３,水２　水４　水５,金
雄湊,北,月　木,水１　水３,水２　水４　水５,火
砂山,北,月　木,水２　水４,水１　水３　水５,火
吹上,北,月　木,水２　水４,水１　水３　水５,金
城北,北,月　木,水１　水３,水２　水４　水５,金
本町,北,月　木,水１　水３,水２　水４　水５,金
城北,北,月　木,水１　水３,水２　水４　水５,金
西脇,西,月　木,水１　水３,水２　水４　水５,火
楠見,西,火　金,水２　水４,水１　水３　水５,月
東山東,北,火　金,水１　水３,水２　水４　水５,月
山口,北,火　金,水２　水４,水１　水３　水５,木
広瀬,北,月　木,水２　水４,水１　水３　水５,金
広瀬,北,月　木,水２　水４,水１　水３　水５,金
紀伊,北,火　金,水２　水４,水１　水３　水５,木
安原,北,火　金,水１　水３,水２　水４　水５,月
雄湊,北,月　木,水１　水３,水２　水４　水５,火
城北,北,月　木,水１　水３,水２　水４　水５,金
吹上,北,月　木,水２　水４,水１　水３　水５,金
吹上,北,月　木,水２　水４,水１　水３　水５,金
新南,北,月　木,水１　水３,水２　水４　水５,金
新南,北,月　木,水１　水３,水２　水４　水５,金
新南,北,火　金,水１　水３,水２　水４　水５,金
野崎,西,火　金,水２　水４,水１　水３　水５,木
城北,北,月　木,水１　水３,水２　水４　水５,金
山口,北,火　金,水２　水４,水１　水３　水５,木
城北,北,月　木,水１　水３,水２　水４　水５,金
紀伊,北,火　金,水２　水４,水１　水３　水５,木
城北,北,月　木,水１　水３,水２　水４　水５,金
砂山,北,月　木,水２　水４,水１　水３　水５,火
楠見,北,火　金,水２　水４,水１　水３　水５,日
楠見,西,火　金,水２　水４,水１　水３　水５,月
安原,北,火　金,水１　水３,水２　水４　水５,月
和佐,北,火　金,水１　水３,水２　水４　水５,月
吹上／今福,北,月　木,水２　水４,水１　水３　水５,金
吹上／今福,北,月　木,水２　水４,水１　水３　水５,火
吹上／高松,北,月　木,水２　水４,水１　水３　水５,金
吹上,北,月　木,水２　水４,水１　水３　水５,金
吹上,北,月　木,水２　水４,水１　水３　水５,金
本町,北,月　木,水１　水３,水２　水４　水５,金
大新,北,月　木,水１　水３,水２　水４　水５,金
城北,北,月　木,水１　水３,水２　水４　水５,金
吹上,北,月　木,水２　水４,水１　水３　水５,金
貴志,西,月　木,水１　水３,水２　水４　水５,金
野崎,西,火　金,水２　水４,水１　水３　水５,木
松江,西,月　木,水１　水３,水２　水４　水５,金
松江／木本,西,月　木,水１　水３,水２　水４　水５,金
松江,西,月　木,水１　水３,水２　水４　水５,金
松江,西,月　木,水１　水３,水２　水４　水５,金
松江,西,月　木,水１　水３,水２　水４　水５,金
高松,北,月　木,水２　水４,水１　水３　水５,金
雑賀,北,月　木,水２　水４,水１　水３　水５,火
四箇郷,北,月　木,水１　水３,水２　水４　水５,火
安原,北,火　金,水１　水３,水２　水４　水５,月
名草,北,火　金,水１　水３,水２　水４　水５,木
名草,北,月　木,水１　水３,水２　水４　水５,金
広瀬,北,月　木,水１　水３,水２　水４　水５,金
広瀬,北,月　木,水２　水４,水１　水３　水５,金
広瀬,北,月　木,水２　水４,水１　水３　水５,金
広瀬,北,月　木,水２　水４,水１　水３　水５,金
芦原,北,月　木,水２　水４,水１　水３　水５,金
芦原,北,月　木,水２　水４,水１　水３　水５,金
芦原,北,月　木,水２　水４,水１　水３　水５,金
城北,北,月　木,水１　水３,水２　水４　水５,金
新南／大新,北,月　木,水１　水３,水２　水４　水５,金
小倉,北,火　金,水１　水３,水２　水４　水５,月
砂山／今福,北,月　木,水２　水４,水１　水３　水５,火
湊,西,月　木,水１　水３,水２　水４　水５,月
雄湊,北,月　木,水１　水３,水２　水４　水５,火
砂山,北,月　木,水２　水４,水１　水３　水５,火
湊,西,月　木,水１　水３,水２　水４　水５,月
吹上,北,月　木,水２　水４,水１　水３　水５,金
雄湊,北,月　木,水１　水３,水２　水４　水５,火
雄湊,北,月　木,水１　水３,水２　水４　水５,火
砂山,北,月　木,水２　水４,水１　水３　水５,火
雄湊,北,月　木,水１　水３,水２　水４　水５,火
雄湊,北,月　木,水１　水３,水２　水４　水５,火
砂山,北,月　木,水２　水４,水１　水３　水５,火
雄湊,北,月　木,水１　水３,水２　水４　水５,火
砂山,北,月　木,水２　水４,水１　水３　水５,火
雄湊,北,月　木,水１　水３,水２　水４　水５,火
砂山,北,月　木,水２　水４,水１　水３　水５,火
雄湊,北,月　木,水１　水３,水２　水４　水５,火
雄湊,北,月　木,水１　水３,水２　水４　水５,火
広瀬,北,月　木,水２　水４,水１　水３　水５,金
大新,北,月　木,水１　水３,水２　水４　水５,金
大新,北,月　木,水１　水３,水２　水４　水５,金
広瀬,北,月　木,水２　水４,水１　水３　水５,金
大新,北,月　木,水１　水３,水２　水４　水５,金
雄湊,北,月　木,水１　水３,水２　水４　水５,火
雄湊,北,月　木,水１　水３,水２　水４　水５,火
城北,北,月　木,水１　水３,水２　水４　水５,金
雄湊,北,月　木,水１　水３,水２　水４　水５,火
宮前,北,火　金,水１　水３,水２　水４　水５,木
東山東,北,火　金,水１　水３,水２　水４　水５,月
城北,北,月　木,水１　水３,水２　水４　水５,金
加太,西,月　木,水１　水３,水２　水４　水５,火
東山東,北,火　金,水１　水３,水２　水４　水５,月
貴志,西,火　金,水２　水４,水１　水３　水５,木
城北,北,月　木,水１　水３,水２　水４　水５,金
有功,北,火　金,水２　水４,水１　水３　水５,月
本町,北,月　木,水１　水３,水２　水４　水５,金
城北,北,月　木,水１　水３,水２　水４　水５,金
広瀬,北,月　木,水２　水４,水１　水３　水５,金
西脇,西,月　木,水１　水３,水２　水４　水５,火
安原,北,火　金,水１　水３,水２　水４　水５,月
岡崎,北,火　金,水１　水３,水２　水４　水５,月
広瀬,北,月　木,水１　水３,水２　水４　水５,金
広瀬,北,月　木,水２　水４,水１　水３　水５,金
安原,北,火　金,水１　水３,水２　水４　水５,月
東山東,北,火　金,水１　水３,水２　水４　水５,月
大新,北,月　木,水１　水３,水２　水４　水５,金
広瀬,北,月　木,水２　水４,水１　水３　水５,金
広瀬,北,月　木,水２　水４,水１　水３　水５,金
山口,北,火　金,水２　水４,水１　水３　水５,木
本町／城北,北,月　木,水１　水３,水２　水４　水５,金
山口,北,火　金,水２　水４,水１　水３　水５,木
西山東,北,火　金,水１　水３,水２　水４　水５,月
宮北,北,月　木,水１　水３,水２　水４　水５,火
安原,北,火　金,水１　水３,水２　水４　水５,月
城北,北,月　木,水１　水３,水２　水４　水５,金
城北,北,月　木,水１　水３,水２　水４　水５,金
城北,北,月　木,水１　水３,水２　水４　水５,金
城北,北,月　木,水１　水３,水２　水４　水５,金
城北,北,月　木,水１　水３,水２　水４　水５,金
和歌浦,北,月　木,水２　水４,水１　水３　水５,火
和歌浦,北,月　木,水２　水４,水１　水３　水５,火
和歌浦,北,月　木,水２　水４,水１　水３　水５,火
広瀬,北,月　木,水２　水４,水１　水３　水５,金
和佐,北,火　金,水１　水３,水２　水４　水５,月
和佐,北,火　金,水１　水３,水２　水４　水５,月
三田,北,火　金,水１　水３,水２　水４　水５,木
